quote_id,request_date,customer_age,gender,region,channel,price_offered,discount_percent,previous_policy,converted
100000,01-01-2023,56,M,North,Call Center,1395.08,0,0,0
100001,01-01-2023,46,F,North,Agent,1177.14,5,1,1
100002,01-01-2023,32,M,South,Call Center,1363.63,0,1,0
100003,01-01-2023,60,M,North,Online,1373.46,10,1,0
100004,01-01-2023,25,M,North,Online,1993.17,0,1,0
100005,01-01-2023,38,M,West,Agent,1994.81,0,0,0
100006,01-01-2023,56,M,West,Online,1114.79,15,1,0
100007,01-01-2023,36,F,West,Call Center,1725.97,15,0,1
100008,01-01-2023,40,F,East,Call Center,1051.75,15,1,1
100009,01-01-2023,28,M,South,Call Center,1030.19,0,0,1
100010,01-01-2023,28,M,West,Call Center,1105.33,20,0,0
100011,01-01-2023,41,M,East,Call Center,1965.49,15,0,0
100012,01-01-2023,53,F,East,Agent,1940.86,15,1,1
100013,01-01-2023,57,F,South,Call Center,1193.93,0,1,0
100014,01-01-2023,41,M,South,Online,1161.67,10,1,0
100015,01-01-2023,20,M,North,Online,1240.54,10,1,1
100016,01-01-2023,39,F,East,Online,1515.55,5,1,1
100017,01-01-2023,19,M,West,Online,1569.7,10,0,0
100018,01-01-2023,41,F,South,Agent,1221.59,15,0,0
100019,01-01-2023,61,F,East,Online,1756.62,20,0,0
100020,01-01-2023,47,M,West,Agent,1309.55,5,1,0
100021,01-01-2023,55,F,East,Online,1922.13,20,0,0
100022,01-01-2023,19,M,South,Agent,1656.72,20,1,0
100023,01-01-2023,38,M,North,Agent,1436.35,15,0,0
100024,02-01-2023,50,M,East,Agent,1789.91,0,1,1
100025,02-01-2023,29,M,West,Online,1817.91,0,0,1
100026,02-01-2023,39,M,South,Agent,1290.48,0,1,0
100027,02-01-2023,61,M,North,Call Center,1339.71,10,0,0
100028,02-01-2023,42,F,West,Call Center,1935.96,0,0,0
100029,02-01-2023,44,F,West,Online,1164.74,15,0,0
100030,02-01-2023,59,F,West,Call Center,1042.15,10,1,0
100031,02-01-2023,45,F,East,Call Center,1454.06,0,0,1
100032,02-01-2023,33,M,South,Call Center,1801.21,20,0,0
100033,02-01-2023,32,F,West,Online,1771.67,15,0,0
100034,02-01-2023,64,F,East,Online,1919.53,15,1,0
100035,02-01-2023,61,F,South,Call Center,1533.2,5,0,0
100036,02-01-2023,20,M,South,Online,1100.06,15,1,0
100037,02-01-2023,54,F,East,Agent,1588.69,20,0,0
100038,02-01-2023,24,M,East,Call Center,1778.4,15,0,0
100039,02-01-2023,38,F,West,Online,1093.33,5,1,0
100040,02-01-2023,26,M,South,Online,1172.66,15,1,0
100041,02-01-2023,56,M,North,Call Center,1012.29,15,0,0
100042,02-01-2023,35,F,East,Online,1593.65,5,1,0
100043,02-01-2023,21,M,South,Call Center,1886.73,15,1,1
100044,02-01-2023,42,M,South,Online,1670.66,10,1,0
100045,02-01-2023,31,F,West,Agent,1982.04,15,0,1
100046,02-01-2023,26,F,North,Call Center,1063.03,0,0,0
100047,02-01-2023,43,F,West,Agent,1903,0,0,0
100048,03-01-2023,19,M,North,Call Center,1814.07,10,1,0
100049,03-01-2023,37,M,North,Online,1314.24,15,1,0
100050,03-01-2023,45,M,East,Agent,1973.53,20,1,0
100051,03-01-2023,64,F,South,Online,1287.94,15,1,0
100052,03-01-2023,24,M,South,Call Center,1889.3,0,0,1
100053,03-01-2023,61,M,South,Call Center,1880.75,5,1,0
100054,03-01-2023,25,M,North,Call Center,1757.66,10,0,0
100055,03-01-2023,64,M,South,Call Center,1563.47,5,1,0
100056,03-01-2023,52,M,East,Call Center,1120,20,0,0
100057,03-01-2023,31,M,North,Agent,1531.97,15,0,1
100058,03-01-2023,34,M,North,Call Center,1356.8,20,1,1
100059,03-01-2023,53,F,North,Online,1792.22,5,1,0
100060,03-01-2023,57,F,North,Agent,1758.13,15,1,0
100061,03-01-2023,21,F,East,Online,1910.61,20,0,1
100062,03-01-2023,19,M,South,Call Center,1014.83,0,1,0
100063,03-01-2023,23,M,East,Online,1809.1,0,0,0
100064,03-01-2023,59,F,South,Agent,1938.46,10,1,1
100065,03-01-2023,21,M,East,Agent,1789.3,0,0,0
100066,03-01-2023,46,F,West,Agent,1130.19,0,1,0
100067,03-01-2023,35,M,West,Online,1081.28,5,0,1
100068,03-01-2023,43,M,West,Agent,1020.85,0,0,1
100069,03-01-2023,61,F,West,Online,1628.75,0,0,1
100070,03-01-2023,51,F,North,Call Center,1629.67,5,1,0
100071,03-01-2023,27,F,North,Call Center,1986.91,0,0,1
100072,04-01-2023,53,F,East,Online,1398.04,0,1,1
100073,04-01-2023,31,F,East,Agent,1331.91,10,0,1
100074,04-01-2023,48,M,West,Online,1624.42,0,1,0
100075,04-01-2023,32,M,South,Online,1825.61,0,1,1
100076,04-01-2023,25,M,West,Online,1936.77,10,0,0
100077,04-01-2023,31,F,East,Call Center,1803.12,5,0,0
100078,04-01-2023,40,F,West,Online,1426.67,0,1,0
100079,04-01-2023,57,F,East,Call Center,1634.91,20,0,1
100080,04-01-2023,38,F,West,Online,1856.3,5,1,1
100081,04-01-2023,33,F,South,Call Center,1490.61,5,1,1
100082,04-01-2023,62,F,West,Online,1216.69,0,1,0
100083,04-01-2023,35,M,South,Online,1169.72,10,1,0
100084,04-01-2023,64,M,South,Agent,1000.16,5,1,0
100085,04-01-2023,41,M,East,Agent,1718.24,10,1,1
100086,04-01-2023,43,M,South,Online,1111.1,20,1,0
100087,04-01-2023,42,M,North,Online,1243.84,10,1,1
100088,04-01-2023,62,F,North,Online,1297.88,15,1,0
100089,04-01-2023,58,F,North,Online,1560.38,10,0,1
100090,04-01-2023,46,F,East,Agent,1397.96,5,1,0
100091,04-01-2023,32,F,North,Call Center,1674.67,10,1,0
100092,04-01-2023,62,F,East,Online,1055.64,10,1,1
100093,04-01-2023,18,F,East,Agent,1123.94,15,0,1
100094,04-01-2023,42,M,North,Online,1499.21,15,0,0
100095,04-01-2023,24,F,South,Online,1336.96,0,0,0
100096,05-01-2023,26,F,West,Call Center,1295.81,5,0,1
100097,05-01-2023,41,F,East,Online,1067.03,0,0,0
100098,05-01-2023,18,F,North,Online,1895.72,15,0,1
100099,05-01-2023,61,M,East,Call Center,1691.82,10,1,0
100100,05-01-2023,25,M,South,Call Center,1121.62,15,0,1
100101,05-01-2023,41,F,South,Call Center,1065.05,20,0,0
100102,05-01-2023,28,M,North,Call Center,1974.87,10,0,1
100103,05-01-2023,34,M,East,Agent,1681.17,0,0,0
100104,05-01-2023,25,F,West,Agent,1417.46,10,0,0
100105,05-01-2023,52,F,West,Agent,1701.73,20,1,0
100106,05-01-2023,52,F,East,Online,1756.33,15,1,1
100107,05-01-2023,50,F,East,Call Center,1779.96,5,0,1
100108,05-01-2023,22,F,East,Call Center,1477.88,5,1,0
100109,05-01-2023,59,M,North,Agent,1429.88,5,0,0
100110,05-01-2023,56,F,South,Online,1011.03,15,1,1
100111,05-01-2023,58,F,West,Online,1926.56,5,1,1
100112,05-01-2023,45,F,North,Online,1603.31,20,0,0
100113,05-01-2023,24,M,East,Agent,1203.15,15,0,1
100114,05-01-2023,26,F,East,Online,1919.6,5,0,1
100115,05-01-2023,25,F,South,Online,1914.93,0,1,0
100116,05-01-2023,29,F,East,Online,1989.18,15,1,0
100117,05-01-2023,51,M,North,Call Center,1874.06,15,0,0
100118,05-01-2023,50,F,North,Agent,1997.78,10,0,1
100119,05-01-2023,40,F,South,Call Center,1244.69,5,1,0
100120,06-01-2023,41,F,North,Call Center,1842.25,0,0,1
100121,06-01-2023,54,M,West,Agent,1823.03,20,1,0
100122,06-01-2023,52,F,North,Call Center,1230.94,15,1,1
100123,06-01-2023,61,F,North,Online,1098.44,20,0,1
100124,06-01-2023,57,F,North,Online,1979.42,20,1,0
100125,06-01-2023,39,M,West,Online,1296.02,20,1,0
100126,06-01-2023,44,F,East,Online,1870.89,10,1,0
100127,06-01-2023,52,F,North,Agent,1004.13,20,1,1
100128,06-01-2023,18,F,South,Call Center,1021.02,5,0,1
100129,06-01-2023,52,M,West,Call Center,1465.87,5,1,0
100130,06-01-2023,54,M,South,Online,1238.71,0,0,0
100131,06-01-2023,64,F,North,Online,1689.84,0,1,0
100132,06-01-2023,31,M,South,Call Center,1565.56,20,0,0
100133,06-01-2023,20,M,North,Agent,1077.49,20,1,0
100134,06-01-2023,18,M,West,Call Center,1162.63,10,1,0
100135,06-01-2023,22,F,South,Online,1388.05,20,0,0
100136,06-01-2023,43,F,South,Online,1185.6,20,1,0
100137,06-01-2023,31,M,North,Agent,1792.22,20,0,0
100138,06-01-2023,56,M,North,Call Center,1416.07,15,1,1
100139,06-01-2023,44,M,East,Agent,1093.43,15,0,0
100140,06-01-2023,26,F,North,Agent,1484.34,10,0,0
100141,06-01-2023,32,F,North,Online,1090.84,10,1,0
100142,06-01-2023,32,M,East,Call Center,1128.94,5,1,0
100143,06-01-2023,43,M,North,Online,1239.61,10,1,1
100144,07-01-2023,59,M,North,Call Center,1859.53,5,1,0
100145,07-01-2023,30,M,East,Online,1924.61,20,1,0
100146,07-01-2023,49,F,West,Online,1826.26,10,1,0
100147,07-01-2023,56,M,West,Call Center,1334.08,10,1,0
100148,07-01-2023,49,F,North,Call Center,1272.45,10,1,0
100149,07-01-2023,21,M,North,Online,1549.16,5,1,0
100150,07-01-2023,47,M,East,Call Center,1721.85,5,0,0
100151,07-01-2023,54,M,East,Online,1993.37,0,0,1
100152,07-01-2023,40,M,West,Call Center,1131.57,5,0,0
100153,07-01-2023,56,M,South,Online,1049.29,5,1,0
100154,07-01-2023,62,F,North,Online,1694.36,15,0,1
100155,07-01-2023,32,M,South,Online,1832.23,10,1,0
100156,07-01-2023,60,M,South,Agent,1846.35,5,1,1
100157,07-01-2023,46,M,East,Call Center,1678.46,10,1,1
100158,07-01-2023,53,F,North,Online,1954.02,10,1,0
100159,07-01-2023,30,F,North,Agent,1511,15,0,0
100160,07-01-2023,49,F,East,Online,1913.81,10,0,0
100161,07-01-2023,24,F,South,Agent,1967.81,5,0,1
100162,07-01-2023,39,M,East,Online,1847.16,10,1,0
100163,07-01-2023,45,M,West,Online,1309.76,0,1,1
100164,07-01-2023,19,M,North,Agent,1196.22,0,0,1
100165,07-01-2023,59,F,West,Agent,1548.12,15,1,1
100166,07-01-2023,62,M,East,Call Center,1453.01,5,0,1
100167,07-01-2023,23,M,North,Call Center,1877.76,15,0,1
100168,08-01-2023,45,F,West,Agent,1100.03,0,0,1
100169,08-01-2023,45,F,West,Call Center,1257.74,5,1,0
100170,08-01-2023,61,F,South,Agent,1751.8,10,0,1
100171,08-01-2023,61,M,North,Call Center,1094.99,5,1,1
100172,08-01-2023,37,M,West,Online,1320.76,20,0,0
100173,08-01-2023,47,F,West,Call Center,1387.16,5,1,0
100174,08-01-2023,28,M,South,Online,1622.59,10,1,0
100175,08-01-2023,45,F,West,Online,1158.13,20,0,0
100176,08-01-2023,42,F,West,Call Center,1860.6,15,1,0
100177,08-01-2023,56,M,West,Agent,1447.54,5,1,0
100178,08-01-2023,50,F,South,Online,1917.02,15,1,1
100179,08-01-2023,18,F,West,Online,1467.87,5,0,0
100180,08-01-2023,44,F,West,Call Center,1275.04,0,1,1
100181,08-01-2023,30,M,North,Agent,1141.83,0,0,0
100182,08-01-2023,58,F,North,Agent,1003.75,10,0,0
100183,08-01-2023,20,F,South,Call Center,1532.16,0,1,0
100184,08-01-2023,56,F,East,Agent,1107.16,20,0,0
100185,08-01-2023,23,F,North,Call Center,1391.73,20,0,1
100186,08-01-2023,25,F,South,Call Center,1589.27,5,0,1
100187,08-01-2023,44,F,West,Call Center,1275.69,15,0,1
100188,08-01-2023,26,F,West,Online,1175.22,20,0,0
100189,08-01-2023,54,M,South,Online,1774.72,5,1,1
100190,08-01-2023,50,M,West,Online,1946.79,15,1,0
100191,08-01-2023,59,F,West,Call Center,1100.44,0,0,0
100192,09-01-2023,61,M,East,Online,1155.59,5,0,1
100193,09-01-2023,41,M,West,Online,1960.01,15,1,1
100194,09-01-2023,32,F,North,Online,1037.78,10,1,0
100195,09-01-2023,49,M,West,Call Center,1977.63,10,1,1
100196,09-01-2023,49,F,South,Call Center,1004.64,20,0,1
100197,09-01-2023,41,F,East,Call Center,1873.67,15,0,0
100198,09-01-2023,58,F,West,Online,1307.33,10,1,0
100199,09-01-2023,29,F,South,Agent,1938.59,20,0,1
100200,09-01-2023,56,F,North,Online,1316.95,5,1,1
100201,09-01-2023,19,M,West,Online,1654.31,5,1,0
100202,09-01-2023,20,F,East,Call Center,1080.03,15,0,0
100203,09-01-2023,54,M,West,Call Center,1242.33,15,1,0
100204,09-01-2023,34,F,South,Online,1773.68,15,1,0
100205,09-01-2023,19,F,East,Online,1528.69,15,1,0
100206,09-01-2023,19,F,West,Agent,1927.97,10,1,0
100207,09-01-2023,45,M,North,Agent,1428.75,10,1,0
100208,09-01-2023,40,F,East,Call Center,1869.81,20,0,1
100209,09-01-2023,54,F,North,Agent,1448.96,10,1,1
100210,09-01-2023,49,F,South,Agent,1979.25,5,0,1
100211,09-01-2023,50,F,West,Call Center,1959.83,20,0,1
100212,09-01-2023,18,M,North,Agent,1329.14,10,1,1
100213,09-01-2023,36,F,South,Online,1885.92,15,1,0
100214,09-01-2023,19,M,West,Agent,1847.61,10,1,1
100215,09-01-2023,61,F,South,Call Center,1210.68,0,0,0
100216,10-01-2023,43,M,North,Online,1624.29,20,0,0
100217,10-01-2023,49,M,South,Agent,1072.68,10,0,0
100218,10-01-2023,23,F,East,Online,1836.71,10,1,0
100219,10-01-2023,49,F,West,Online,1174.55,5,1,0
100220,10-01-2023,21,M,South,Agent,1070.81,15,1,1
100221,10-01-2023,28,F,North,Agent,1400.22,15,1,0
100222,10-01-2023,34,F,West,Call Center,1576.92,5,1,1
100223,10-01-2023,55,F,East,Call Center,1854.92,5,0,0
100224,10-01-2023,41,M,West,Online,1974.24,0,0,1
100225,10-01-2023,22,F,East,Call Center,1439.49,20,0,0
100226,10-01-2023,51,F,West,Online,1060.45,15,1,0
100227,10-01-2023,23,F,South,Online,1749.12,5,1,0
100228,10-01-2023,39,M,South,Call Center,1565.17,5,0,0
100229,10-01-2023,28,F,North,Call Center,1447.89,20,1,0
100230,10-01-2023,33,M,East,Call Center,1309.27,5,0,0
100231,10-01-2023,50,F,North,Agent,1502.4,0,1,0
100232,10-01-2023,26,M,South,Online,1338.68,20,1,0
100233,10-01-2023,23,F,East,Online,1757.01,0,1,1
100234,10-01-2023,33,F,North,Online,1543.89,10,1,0
100235,10-01-2023,46,M,North,Call Center,1876.85,15,0,0
100236,10-01-2023,20,M,North,Call Center,1543.54,5,1,1
100237,10-01-2023,37,M,North,Call Center,1238.26,20,0,0
100238,10-01-2023,53,F,North,Call Center,1851.09,0,0,0
100239,10-01-2023,36,F,East,Call Center,1557.22,15,0,0
100240,11-01-2023,43,F,North,Agent,1206.84,15,0,0
100241,11-01-2023,20,F,East,Call Center,1623.51,5,0,0
100242,11-01-2023,36,M,North,Online,1357.72,15,1,0
100243,11-01-2023,37,F,South,Call Center,1844.41,5,0,0
100244,11-01-2023,49,F,South,Online,1453.3,10,0,1
100245,11-01-2023,24,F,North,Call Center,1726.44,5,0,1
100246,11-01-2023,58,F,West,Call Center,1095.54,0,0,1
100247,11-01-2023,50,F,South,Online,1396.02,15,0,0
